AX,404093080,-112.94865,-153.07234
AF,1406531463,-177.3069,-177.3069
AF,385102818,-112.91148,-177.3069
AX,1389421311,-112.94865,-179.84529
AX,5387805174,-115.844086,-179.84529
AF,473204445,-111.27111,-196.80571
AF,461821848,-111.27111,-196.80571
AX,2367595855,-190.11153,-190.11153
AX,454874005,-190.11153,-195.68535
AF,1456688369,-121.724686,-183.39813
AX,449445537,-154.9998,-195.68535
AF,2452174832,-133.45216,-188.56369
AX,441722285,-154.9998,-188.25046
AF,1443595976,-148.80733,-188.56369
AF,433331544,-136.68478,-168.01315
AX,2437685353,-108.16316,-184.97806
AF,1427007905,-103.166756,-175.3205
AX,424660658,-108.16316,-184.97806
AF,2419030799,-103.166756,-185.7421
AX,415921047,-116.647545,-191.05394
AX,3414279891,-136.80206,-191.05394
AF,409885860,-155.93509,-189.17184
AX,7413949677,-136.80206,-136.80206
AF,404216270,-101.7797,-189.17184
AF,2400798759,-101.7797,-150.65677
AX,397709047,-131.2764,-143.36884
AF,390901494,-106.05966,-150.65677
AX,4397882947,-131.2764,-143.36884
AX,3389917035,-113.72996,-113.72996
AF,385349820,-112.44852,-180.81645
AX,377555814,-102.89724,-127.1347
AF,2381785207,-115.27676,-187.03792
AX,2370886872,-102.89724,-186.97679
AF,363551647,-108.373276,-187.03792
AX,6370344059,-154.45198,-186.97679
AF,356070505,-100.37279,-189.71828
AX,349905608,-142.45001,-170.38448
AF,2353750297,-100.37279,-189.71828
AF,1344658823,-106.82025,-174.1019
AX,343491202,-142.45001,-198.28105
AF,1338062969,-106.82025,-181.40327
AX,337303443,-136.69278,-198.86488
AX,1332116188,-127.63844,-198.86488
AF,330390610,-110.66176,-181.40327
AX,1325274727,-122.05826,-140.16254
AF,324487927,-110.66176,-172.35327
AF,317513404,-111.99078,-181.94588
AX,2321026758,-122.05826,-158.28105
AX,311445304,-102.93477,-188.02443
AF,4318131359,-154.52182,-181.94588
AX,405690493,85.074875,-188.02443
AF,1407293929,70.76443,53.708183
AX,399147646,85.074875,-162.30971
AF,1401266176,80.4741,28.375072
AX,393510887,73.5454,13.083526
AF,1395014305,80.4741,28.375072
AX,1388147607,73.5454,64.35681
AF,387179498,75.039894,43.24671
AX,5388922758,64.35681,64.35681
AF,381281889,78.282745,20.12851
AF,374265206,78.282745,20.12851
AX,2378010383,20.506748,20.506748
AX,368421993,94.1809,20.506748
AF,3373745706,73.97321,51.008366
AX,360833391,94.1809,21.640352
AF,1362969798,77.06745,8.418405
AX,3359661954,73.34458,21.640352
AF,355677740,77.06745,8.418405
AF,349144576,99.13917,27.920153
AX,2352291181,98.479706,25.696766
AF,342085079,99.13917,19.6684
AX,6352374514,98.479706,51.248356
AX,2337646674,93.51606,70.30048
AF,333201706,97.22105,19.6684
AF,3331382617,87.070625,53.466
AX,326792666,99.48822,6.487416
AF,1321706281,77.19843,44.78503
AX,320742292,99.48822,6.487416
AF,314819065,93.42299,5.038278
